amfi_code,sortino_ratio
100016,-0.351
100025,-0.9418
100033,1.8291
101206,1.7996
101207,0.2766
101208,-1.681
102885,1.4357
102886,-0.3472
102887,1.0888
118632,1.8501
118633,1.1545
118634,0.746
118635,1.138
118636,-0.6135
119092,0.0526
119093,0.2211
119094,1.7038
119095,-0.1282
119120,-0.3768
119551,2.1403
119552,1.6098
119598,1.6753
119599,-0.0944
120503,1.3379
120504,1.8053
120505,2.0294
120506,1.0959
120507,1.0521
120841,0.8626
120842,0.1247
120843,2.3643
120844,-0.1877
125497,1.3307
125498,0.5088
148567,2.3856
148568,1.6327
148569,2.1469
149322,0.7621
149323,1.8751
149324,1.6198
